Comune,Casi da inizio pandemia,Deceduti da inizio pandemia,Attuali ricoverati in rianimazione,Attuali ricoverati in altri reparti,In isolamento domiciliare ultimi 30gg
DOMANICO,302,-,-,-,-
FAGNANO CASTELLO,425,6,-,-,-
FALCONARA ALBANESE,285,-,-,-,-
FIGLINE VEGLIATURO,341,-,-,-,-
FIRMO,329,-,-,-,-
FIUMEFREDDO BRUZIO,777,-,-,-,-
FRANCAVILLA MARITTIMA,630,-,-,-,-
FRASCINETO,416,-,-,-,-
FUSCALDO,1845,8,-,-,-
GRIMALDI,403,-,-,-,-
GRISOLIA,471,-,-,-,-
GUARDIA PIEMONTESE,398,-,-,-,-
LAGO,572,-,-,-,-
LAINO BORGO,433,-,-,-,-
LAINO CASTELLO,173,-,-,-,-
LAPPANO,172,-,-,-,-
LATTARICO,986,6,-,-,-
LONGOBARDI,502,23,-,-,-
LONGOBUCCO,745,-,-,-,-
LUNGRO,349,6,-,-,-
LUZZI,2138,17,-,-,-
MAIERA',210,-,-,-,-
MALITO,153,-,-,-,-
MALVITO,291,8,-,-,-
MANDATORICCIO,535,-,-,-,-
MANGONE,478,-,-,-,-
MARANO MARCHESATO,927,8,-,-,-
MARANO PRINCIPATO,676,-,-,-,-
MARZI,223,-,-,-,-
MENDICINO,2399,9,-,-,-
MONGRASSANO,442,6,-,-,-
MONTALTO UFFUGO,6336,26,-,-,-
MONTEGIORDANO,373,-,-,-,-
MORANO CALABRO,307,10,-,-,-
MORMANNO,266,9,-,-,-
MOTTAFOLLONE,162,-,-,-,-
NOCARA,42,-,-,-,-
ORIOLO,152,-,-,-,-
ORSOMARSO,241,-,-,-,-
PALUDI,195,-,-,-,-
PANETTIERI,38,-,-,-,-
PAOLA,3417,32,-,-,-
PAPASIDERO,38,-,-,-,-
PARENTI,564,-,-,-,-
PATERNO CALABRO,375,-,-,-,-
PEDIVIGLIANO,194,-,-,-,-
PIANE CRATI,327,-,-,-,-
PIETRAFITTA,200,-,-,-,-
PIETRAPAOLA,274,-,-,-,-
PLATACI,87,-,-,-,-
PRAIA A MARE,1025,7,-,-,-
RENDE,10249,53,-,-,-
ROCCA IMPERIALE,355,-,-,-,-
ROGGIANO GRAVINA,1387,17,-,-,-
ROGLIANO,1375,11,-,-,-
ROSE,1075,8,-,-,-
ROSETO CAPO SPULICO,190,-,-,-,-
ROTA GRECA,210,-,-,-,-
ROVITO,473,-,-,-,-
SAN BASILE,121,-,-,-,-
SAN BENEDETTO ULLANO,270,-,-,-,-
SAN COSMO ALBANESE,183,6,-,-,-
SAN DEMETRIO CORONE,618,-,-,-,-
SAN DONATO DI NINEA,259,-,-,-,-
SAN FILI,507,6,-,-,-
SAN GIORGIO ALBANESE,321,6,-,-,-
SAN GIOVANNI IN FIORE,4004,34,-,-,-
SAN LORENZO BELLIZZI,78,-,-,-,-
SAN LORENZO DEL VALLO,464,-,-,-,-
SAN LUCIDO,945,9,-,-,-
SAN MARCO ARGENTANO,1604,7,-,-,-
SAN MARTINO DI FINITA,222,-,-,-,-
SAN NICOLA ARCELLA,276,-,-,-,-
SAN PIETRO IN AMANTEA,124,-,-,-,-
SAN PIETRO IN GUARANO,975,9,-,-,-
SAN SOSTI,375,7,-,-,-
SAN VINCENZO LA COSTA,615,-,-,-,-
SANGINETO,164,-,-,-,-
SANTA CATERINA ALBANESE,108,-,-,-,-
SANTA DOMENICA TALAO,77,-,-,-,-
SANTA MARIA DEL CEDRO,795,-,-,-,-
SANTA SOFIA D'EPIRO,267,7,-,-,-
SANT'AGATA DI ESARO,123,-,-,-,-
SANTO STEFANO DI ROGLIANO,589,-,-,-,-
SARACENA,835,6,-,-,-
SCALA COELI,41,-,-,-,-
SCALEA,2152,8,-,-,-
SCIGLIANO,175,-,-,-,-
SERRA D'AIELLO,151,-,-,-,-
SPEZZANO ALBANESE,1209,19,-,-,-
SPEZZANO DELLA SILA,926,14,-,-,-
TARSIA,411,-,-,-,-
TERRANOVA DA SIBARI,972,12,-,-,-
TERRAVECCHIA,97,-,-,-,-
TORANO CASTELLO,916,20,-,-,-
TORTORA,831,9,-,-,-
TREBISACCE,1801,15,-,-,-
VACCARIZZO ALBANESE,230,-,-,-,-
VERBICARO,236,6,-,-,-
VILLAPIANA,826,-,-,-,-
ZUMPANO,789,-,-,-,-
